"","host_species","preds"
"126","Hyomys_goliath",NA
"127","Leptomys_elegans",NA
"128","Leptomys_ernstmayri",NA
"129","Leptomys_signatus",NA
"130","Lorentzimys_nouhuysi",NA
"131","Pseudohydromys_ellermani",NA
"132","Pseudohydromys_fuscus",NA
"133","Paraleptomys_rufilatus",NA
"134","Paraleptomys_wilhelmina",NA
"135","Pseudohydromys_murinus",NA
"136","Pseudohydromys_occidentalis",NA
"137","Macruromys_elegans",NA
"138","Macruromys_major",NA
"139","Mallomys_aroaensis",NA
"140","Mallomys_gunung",NA
"141","Mallomys_istapantap",NA
"142","Mallomys_rothschildi",NA
"143","Microhydromys_musseri",NA
"144","Microhydromys_richardsoni",NA
"145","Parahydromys_asper",NA
"146","Pogonomelomys_bruijni",NA
"147","Pogonomelomys_mayeri",NA
"148","Abeomelomys_sevia",NA
"149","Solomys_ponceleti",NA
"150","Solomys_salamonis",NA
"151","Solomys_salebrosus",NA
"152","Solomys_sapientis",NA
"153","Solomys_spriggsarum",NA
"154","Xenuromys_barbatus",NA
"155","Anonymomys_mindorensis",NA
"156","Apodemus_argenteus",NA
"157","Apodemus_draco",NA
"158","Apodemus_gurkha",NA
"159","Apodemus_latronum",NA
"160","Apodemus_peninsulae",NA
"161","Apodemus_semotus",NA
"162","Apodemus_speciosus",NA
"163","Apodemus_agrarius",NA
"164","Apodemus_chevrieri",NA
"165","Apodemus_mystacinus",NA
"166","Apodemus_epimelas",NA
"167","Apodemus_alpicola",NA
"168","Apodemus_witherbyi",NA
"169","Apodemus_flavicollis",NA
"170","Apodemus_hyrcanicus",NA
"171","Apodemus_ponticus",NA
"172","Apodemus_rusiges",NA
"173","Apodemus_sylvaticus",NA
"174","Apodemus_uralensis",NA
"175","Apodemus_pallipes",NA
"176","Tokudaia_muenninki",NA
"177","Tokudaia_osimensis",NA
"178","Apomys_abrae",NA
"179","Apomys_datae",NA
"180","Apomys_hylocetes",NA
"181","Apomys_insignis",NA
"182","Apomys_littoralis",NA
"183","Apomys_microdon",NA
"184","Apomys_musculus",NA
"185","Apomys_sacobianus",NA
"186","Archboldomys_luzonensis",NA
"187","Crunomys_celebensis",NA
"188","Crunomys_fallax",NA
"189","Crunomys_melanius",NA
"190","Chrotomys_silaceus",NA
"191","Chrotomys_gonzalesi",NA
"192","Chrotomys_mindorensis",NA
"193","Chrotomys_whiteheadi",NA
"194","Rhynchomys_isarogensis",NA
"195","Rhynchomys_soricoides",NA
"196","Arvicanthis_abyssinicus",NA
"197","Arvicanthis_blicki",NA
"198","Arvicanthis_nairobae",NA
"199","Arvicanthis_niloticus",NA
"200","Arvicanthis_ansorgei",NA
"201","Arvicanthis_rufinus",NA
"202","Arvicanthis_neumanni",NA
"203","Bandicota_bengalensis",NA
"204","Bandicota_indica",NA
"205","Bandicota_savilei",NA
"206","Batomys_dentatus",NA
"207","Batomys_granti",NA
"208","Batomys_salomonseni",NA
"209","Carpomys_melanurus",NA
"210","Carpomys_phaeurus",NA
"211","Crateromys_australis",NA
"212","Crateromys_paulus",NA
"213","Crateromys_schadenbergi",NA
"214","Berylmys_berdmorei",NA
"215","Berylmys_bowersi",NA
"216","Berylmys_mackenziei",NA
"217","Berylmys_manipulus",NA
"218","Bunomys_andrewsi",NA
"219","Bunomys_chrysocomus",NA
"220","Bunomys_coelestis",NA
"221","Bunomys_fratrorum",NA
"222","Bunomys_penitus",NA
"223","Bunomys_prolatus",NA
"224","Chiromyscus_chiropus",NA
"225","Chiropodomys_calamianensis",NA
"226","Chiropodomys_gliroides",NA
"227","Chiropodomys_karlkoopmani",NA
"228","Chiropodomys_major",NA
"229","Chiropodomys_muroides",NA
"230","Chiropodomys_pusillus",NA
"231","Hapalomys_delacouri",NA
"232","Hapalomys_longicaudatus",NA
"233","Haeromys_margarettae",NA
"234","Haeromys_minahassae",NA
"235","Haeromys_pusillus",NA
"236","Colomys_goslingi",NA
"237","Nilopegamys_plumbeus",NA
"238","Conilurus_penicillatus",NA
"239","Leporillus_conditor",NA
"240","Mesembriomys_gouldii",NA
"241","Mesembriomys_macrurus",NA
"242","Melomys_aerosus",NA
"243","Melomys_bougainville",NA
"244","Melomys_burtoni",NA
"245","Melomys_frigicola",NA
"246","Melomys_lutillus",NA
"247","Melomys_capensis",NA
"248","Melomys_cervinipes",NA
"249","Protochromys_fellowsi",NA
"250","Melomys_fraterculus",NA
"251","Melomys_dollmani",NA
"252","Mammelomys_lanosus",NA
"253","Melomys_leucogaster",NA
"254","Melomys_caurinus",NA
"255","Melomys_fulgens",NA
"256","Melomys_talaudium",NA
"257","Melomys_arcium",NA
"258","Paramelomys_levipes",NA
"259","Paramelomys_lorentzii",NA
"260","Paramelomys_naso",NA
"261","Paramelomys_mollis",NA
"262","Paramelomys_moncktoni",NA
"263","Melomys_obiensis",NA
"264","Paramelomys_platyops",NA
"265","Mammelomys_rattoides",NA
"266","Paramelomys_rubex",NA
"267","Paramelomys_steini",NA
"268","Melomys_rubicola",NA
"269","Melomys_rufescens",NA
"270","Melomys_spechti",NA
"271","Uromys_anak",NA
"272","Uromys_caudimaculatus",NA
"273","Uromys_siebersi",NA
"274","Uromys_hadrourus",NA
"275","Uromys_neobritannicus",NA
"276","Uromys_rex",NA
"277","Zyzomys_argurus",NA
"278","Zyzomys_maini",NA
"279","Zyzomys_palatilis",NA
"280","Zyzomys_pedunculatus",NA
"281","Zyzomys_woodwardi",NA
"282","Leggadina_forresti",NA
"283","Leggadina_lakedownensis",NA
"284","Notomys_alexis",NA
"285","Notomys_aquilo",NA
"286","Notomys_cervinus",NA
"287","Notomys_fuscus",NA
"288","Notomys_mitchellii",NA
"289","Pseudomys_albocinereus",NA
"290","Pseudomys_apodemoides",NA
"291","Pseudomys_australis",NA
"292","Pseudomys_bolami",NA
"293","Pseudomys_chapmani",NA
"294","Pseudomys_delicatulus",NA
"295","Pseudomys_desertor",NA
"296","Pseudomys_fieldi",NA
"297","Pseudomys_fumeus",NA
"298","Mastacomys_fuscus",NA
"299","Pseudomys_glaucus",NA
"300","Pseudomys_gracilicaudatus",NA
"301","Pseudomys_hermannsburgensis",NA
"302","Pseudomys_higginsi",NA
"303","Pseudomys_johnsoni",NA
"304","Pseudomys_laborifex",NA
"305","Pseudomys_calabyi",NA
"306","Pseudomys_nanus",NA
"307","Pseudomys_novaehollandiae",NA
"308","Pseudomys_occidentalis",NA
"309","Pseudomys_oralis",NA
"310","Pseudomys_patrius",NA
"311","Pseudomys_pilligaensis",NA
"312","Pseudomys_shortridgei",NA
"313","Madromys_blanfordi",NA
"314","Cremnomys_cutchicus",NA
"315","Cremnomys_elvira",NA
"316","Millardia_gleadowi",NA
"317","Millardia_kathleenae",NA
"318","Millardia_kondana",NA
"319","Millardia_meltada",NA
"320","Dacnomys_millardi",NA
"321","Dasymys_foxi",NA
"322","Dasymys_incomtus",NA
"323","Dasymys_alleni",NA
"324","Dasymys_montanus",NA
"325","Dasymys_nudipes",NA
"326","Dasymys_rufulus",NA
"327","Dephomys_defua",NA
"328","Dephomys_eburneae",NA
"329","Hybomys_basilii",NA
"330","Hybomys_badius",NA
"331","Hybomys_lunaris",NA
"332","Hybomys_planifrons",NA
"333","Hybomys_trivirgatus",NA
"334","Hybomys_univittatus",NA
"335","Hydromys_chrysogaster",NA
"336","Hydromys_habbema",NA
"337","Hydromys_hussoni",NA
"338","Hydromys_neobritannicus",NA
"339","Hydromys_shawmayeri",NA
"340","Xeromys_myoides",NA
"341","Desmomys_harringtoni",NA
"342","Diomys_crumpi",NA
"343","Diplothrix_legata",NA
"344","Echiothrix_leucura",NA
"345","Echiothrix_centrosa",NA
"346","Margaretamys_beccarii",NA
"347","Margaretamys_elegans",NA
"348","Margaretamys_parvus",NA
"349","Melasmothrix_naso",NA
"350","Tateomys_macrocercus",NA
"351","Tateomys_rhinogradoides",NA
"352","Eropeplus_canus",NA
"353","Lenomys_meyeri",NA
"354","Golunda_ellioti",NA
"355","Grammomys_aridulus",NA
"356","Grammomys_buntingi",NA
"357","Grammomys_caniceps",NA
"358","Grammomys_cometes",NA
"359","Grammomys_dolichurus",NA
"360","Grammomys_dryas",NA
"361","Grammomys_gigas",NA
"362","Grammomys_ibeanus",NA
"363","Grammomys_macmillani",NA
"364","Grammomys_minnae",NA
"365","Grammomys_kuru",NA
"366","Grammomys_poensis",NA
"367","Thallomys_loringi",NA
"368","Thallomys_nigricauda",NA
"369","Thallomys_paedulcus",NA
"370","Thallomys_shortridgei",NA
"371","Hadromys_humei",NA
"372","Hadromys_yunnanensis",NA
"373","Heimyscus_fumosus",NA
"374","Hylomyscus_aeta",NA
"375","Hylomyscus_grandis",NA
"376","Hylomyscus_alleni",NA
"377","Hylomyscus_baeri",NA
"378","Hylomyscus_carillus",NA
"379","Hylomyscus_denniae",NA
"380","Hylomyscus_parvus",NA
"381","Hylomyscus_stella",NA
"382","Kadarsanomys_sodyi",NA
"383","Komodomys_rintjanus",NA
"384","Papagomys_armandvillei",NA
"385","Lamottemys_okuensis",NA
"386","Oenomys_hypoxanthus",NA
"387","Oenomys_ornatus",NA
"388","Thamnomys_kempi",NA
"389","Thamnomys_major",NA
"390","Thamnomys_venustus",NA
"391","Lemniscomys_barbarus",NA
"392","Lemniscomys_zebra",NA
"393","Lemniscomys_bellieri",NA
"394","Lemniscomys_griselda",NA
"395","Lemniscomys_hoogstraali",NA
"396","Lemniscomys_linulus",NA
"397","Lemniscomys_macculus",NA
"398","Lemniscomys_mittendorfi",NA
"399","Lemniscomys_rosalia",NA
"400","Lemniscomys_roseveari",NA
"401","Lemniscomys_striatus",NA
"402","Lenothrix_canus",NA
"403","Leopoldamys_edwardsi",NA
"404","Leopoldamys_ciliatus",NA
"405","Leopoldamys_milleti",NA
"406","Leopoldamys_neilli",NA
"407","Leopoldamys_sabanus",NA
"408","Leopoldamys_siporanus",NA
"409","Malacomys_cansdalei",NA
"410","Malacomys_edwardsi",NA
"411","Malacomys_longipes",NA
"412","Praomys_lukolelae",NA
"413","Praomys_verschureni",NA
"414","Myomyscus_angolensis",NA
"415","Mastomys_coucha",NA
"416","Mastomys_erythroleucus",NA
"417","Mastomys_huberti",NA
"418","Mastomys_natalensis",NA
"419","Mastomys_pernanus",NA
"420","Mastomys_shortridgei",NA
"421","Mastomys_kollmannspergeri",NA
"422","Maxomys_alticola",NA
"423","Maxomys_baeodon",NA
"424","Maxomys_bartelsii",NA
"425","Maxomys_dollmani",NA
"426","Maxomys_hellwaldii",NA
"427","Maxomys_hylomyoides",NA
"428","Maxomys_inas",NA
"429","Maxomys_inflatus",NA
"430","Maxomys_moi",NA
"431","Maxomys_musschenbroekii",NA
"432","Maxomys_ochraceiventer",NA
"433","Maxomys_pagensis",NA
"434","Maxomys_panglima",NA
"435","Maxomys_rajah",NA
"436","Maxomys_surifer",NA
"437","Maxomys_wattsi",NA
"438","Maxomys_whiteheadi",NA
"439","Micromys_minutus",NA
"440","Muriculus_imberbis",NA
"441","Mus_crociduroides",NA
"442","Mus_famulus",NA
"443","Mus_mayori",NA
"444","Mus_pahari",NA
"445","Mus_vulcani",NA
"446","Mus_booduga",NA
"447","Mus_caroli",NA
"448","Mus_cervicolor",NA
"449","Mus_cookii",NA
"450","Mus_macedonicus",NA
"451","Mus_musculus",NA
"452","Mus_spicilegus",NA
"453","Mus_spretus",NA
"454","Mus_terricolor",NA
"455","Mus_baoulei",NA
"456","Mus_bufo",NA
"457","Mus_callewaerti",NA
"458","Mus_goundae",NA
"459","Mus_haussa",NA
"460","Mus_indutus",NA
"461","Mus_musculoides",NA
"462","Mus_mahomet",NA
"463","Mus_mattheyi",NA
"464","Mus_minutoides",NA
"465","Mus_neavei",NA
"466","Mus_orangiae",NA
"467","Mus_oubanguii",NA
"468","Mus_setulosus",NA
"469","Mus_setzeri",NA
"470","Mus_sorella",NA
"471","Mus_tenellus",NA
"472","Mus_triton",NA
"473","Mus_fernandoni",NA
"474","Mus_phillipsi",NA
"475","Mus_platythrix",NA
"476","Mus_saxicola",NA
"477","Mus_shortridgei",NA
"478","Mylomys_dybowskii",NA
"479","Mylomys_rex",NA
"480","Pelomys_campanae",NA
"481","Pelomys_fallax",NA
"482","Pelomys_hopkinsi",NA
"483","Pelomys_isseli",NA
"484","Pelomys_minor",NA
"485","Stenocephalemys_albipes",NA
"486","Praomys_daltoni",NA
"487","Praomys_derooi",NA
"488","Myomyscus_brockmani",NA
"489","Stenocephalemys_ruppi",NA
"490","Myomyscus_verreauxii",NA
"491","Myomyscus_yemeni",NA
"492","Stenocephalemys_albocaudata",NA
"493","Stenocephalemys_griseicauda",NA
"494","Nesokia_bunnii",NA
"495","Nesokia_indica",NA
"496","Niviventer_andersoni",NA
"497","Niviventer_brahma",NA
"498","Niviventer_confucianus",NA
"499","Niviventer_coninga",NA
"500","Niviventer_cremoriventer",NA
"501","Niviventer_culturatus",NA
"502","Niviventer_eha",NA
"503","Niviventer_excelsior",NA
"504","Niviventer_fulvescens",NA
"505","Niviventer_hinpoon",NA
"506","Niviventer_langbianis",NA
"507","Niviventer_lepturus",NA
"508","Niviventer_niviventer",NA
"509","Niviventer_rapit",NA
"510","Niviventer_cameroni",NA
"511","Niviventer_fraternus",NA
"512","Niviventer_tenaster",NA
"513","Otomys_anchietae",NA
"514","Otomys_barbouri",NA
"515","Otomys_lacustris",NA
"516","Otomys_angoniensis",NA
"517","Otomys_denti",NA
"518","Otomys_irroratus",NA
"519","Otomys_laminatus",NA
"520","Otomys_maximus",NA
"521","Otomys_cuanzensis",NA
"522","Otomys_occidentalis",NA
"523","Otomys_saundersiae",NA
"524","Myotomys_sloggetti",NA
"525","Otomys_tropicalis",NA
"526","Otomys_burtoni",NA
"527","Otomys_dollmani",NA
"528","Otomys_typus",NA
"529","Otomys_dartmouthi",NA
"530","Otomys_jacksoni",NA
"531","Otomys_orestes",NA
"532","Otomys_uzungwensis",NA
"533","Myotomys_unisulcatus",NA
"534","Parotomys_brantsii",NA
"535","Parotomys_littledalei",NA
"536","Palawanomys_furvus",NA
"537","Paruromys_dominator",NA
"538","Phloeomys_cumingi",NA
"539","Phloeomys_pallidus",NA
"540","Pithecheir_melanurus",NA
"541","Pithecheir_parvus",NA
"542","Pogonomys_championi",NA
"543","Pogonomys_loriae",NA
"544","Pogonomys_fergussoniensis",NA
"545","Pogonomys_macrourus",NA
"546","Pogonomys_sylvestris",NA
"547","Praomys_delectorum",NA
"548","Praomys_hartwigi",NA
"549","Praomys_obscurus",NA
"550","Praomys_jacksoni",NA
"551","Praomys_minor",NA
"552","Praomys_misonnei",NA
"553","Praomys_morio",NA
"554","Praomys_mutoni",NA
"555","Praomys_rostratus",NA
"556","Praomys_tullbergi",NA
"557","Rattus_colletti",NA
"558","Rattus_fuscipes",NA
"559","Rattus_hainaldi",NA
"560","Rattus_lutreolus",NA
"561","Rattus_sordidus",NA
"562","Rattus_timorensis",NA
"563","Rattus_tunneyi",NA
"564","Rattus_villosissimus",NA
"565","Rattus_elaphinus",NA
"566","Rattus_feliceus",NA
"567","Rattus_giluwensis",NA
"568","Rattus_jobiensis",NA
"569","Rattus_leucopus",NA
"570","Rattus_mordax",NA
"571","Rattus_morotaiensis",NA
"572","Rattus_novaeguineae",NA
"573","Rattus_praetor",NA
"574","Rattus_sanila",NA
"575","Rattus_steini",NA
"576","Rattus_annandalei",NA
"577","Rattus_enganus",NA
"578","Rattus_exulans",NA
"579","Rattus_hoogerwerfi",NA
"580","Rattus_korinchi",NA
"581","Rattus_montanus",NA
"582","Rattus_ranjiniae",NA
"583","Rattus_stoicus",NA
"584","Rattus_adustus",NA
"585","Rattus_argentiventer",NA
"586","Rattus_baluensis",NA
"587","Rattus_burrus",NA
"588","Rattus_everetti",NA
"589","Rattus_hoffmanni",NA
"590","Rattus_koopmani",NA
"591","Rattus_losea",NA
"592","Rattus_lugens",NA
"593","Rattus_mindorensis",NA
"594","Rattus_mollicomulus",NA
"595","Rattus_nitidus",NA
"596","Rattus_osgoodi",NA
"597","Rattus_palmarum",NA
"598","Rattus_rattus",NA
"599","Rattus_satarae",NA
"600","Rattus_andamanensis",NA
"601","Rattus_simalurensis",NA
"602","Rattus_tanezumi",NA
"603","Rattus_tawitawiensis",NA
"604","Rattus_tiomanicus",NA
"605","Rattus_blangorum",NA
"606","Rattus_pyctoris",NA
"607","Rattus_norvegicus",NA
"608","Rattus_bontanus",NA
"609","Rattus_marmosurus",NA
"610","Rattus_pelurus",NA
"611","Rattus_xanthurus",NA
"612","Rattus_salocco",NA
"613","Rhabdomys_pumilio",NA
"614","Rhabdomys_dilectus",NA
"615","Srilankamys_ohiensis",NA
"616","Nesoromys_ceramicus",NA
"617","Rattus_arfakiensis",NA
"618","Rattus_arrogans",NA
"619","Rattus_niobe",NA
"620","Rattus_pococki",NA
"621","Rattus_omichlodes",NA
"622","Rattus_richardsoni",NA
"623","Rattus_vandeuseni",NA
"624","Rattus_verecundus",NA
"625","Stochomys_longicaudatus",NA
"626","Sundamys_infraluteus",NA
"627","Sundamys_maxi",NA
"628","Sundamys_muelleri",NA
"629","Taeromys_arcuatus",NA
"630","Taeromys_callitrichus",NA
"631","Taeromys_microbullatus",NA
"632","Taeromys_celebensis",NA
"633","Taeromys_hamatus",NA
"634","Taeromys_punicans",NA
"635","Taeromys_taerae",NA
"636","Vandeleuria_nolthenii",NA
"637","Vandeleuria_oleracea",NA
"638","Vandeleuria_nilagirica",NA
"639","Vernaya_fulva",NA
"640","Zelotomys_hildegardeae",NA
"641","Zelotomys_woosnami",NA
"642","Abrawayaomys_ruschii",NA
"643","Handleyomys_fuscatus",NA
"644","Aepeomys_lugens",NA
"645","Thomasomys_aureus",NA
"646","Thomasomys_popayanus",NA
"647","Thomasomys_praetor",NA
"648","Thomasomys_baeops",NA
"649","Thomasomys_bombycinus",NA
"650","Thomasomys_cinereiventer",NA
"651","Thomasomys_erro",NA
"652","Thomasomys_cinereus",NA
"653","Thomasomys_caudivarius",NA
"654","Thomasomys_daphne",NA
"655","Thomasomys_eleusis",NA
"656","Thomasomys_gracilis",NA
"657","Thomasomys_cinnameus",NA
"658","Thomasomys_hudsoni",NA
"659","Thomasomys_hylophilus",NA
"660","Thomasomys_incanus",NA
"661","Thomasomys_ischyrus",NA
"662","Thomasomys_kalinowskii",NA
"663","Thomasomys_ladewi",NA
"664","Thomasomys_laniger",NA
"665","Thomasomys_monochromos",NA
"666","Thomasomys_niveipes",NA
"667","Thomasomys_notatus",NA
"668","Thomasomys_oreas",NA
"669","Thomasomys_paramorum",NA
"670","Thomasomys_pyrrhonotus",NA
"671","Thomasomys_rhoadsi",NA
"672","Thomasomys_rosalinda",NA
"673","Thomasomys_silvestris",NA
"674","Thomasomys_taczanowskii",NA
"675","Thomasomys_vestitus",NA
"676","Abrothrix_lanosus",NA
"677","Abrothrix_longipilis",NA
"678","Abrothrix_sanborni",NA
"679","Abrothrix_hershkovitzi",NA
"680","Abrothrix_illuteus",NA
"681","Akodon_affinis",NA
"682","Akodon_albiventer",NA
"683","Akodon_azarae",NA
"684","Akodon_cursor",NA
"685","Akodon_montensis",NA
"686","Akodon_fumeus",NA
"687","Akodon_iniscatus",NA
"688","Akodon_kofordi",NA
"689","Akodon_lindberghi",NA
"690","Abrothrix_markhami",NA
"691","Akodon_mollis",NA
"692","Abrothrix_olivaceus",NA
"693","Akodon_orophilus",NA
"694","Akodon_lutescens",NA
"695","Akodon_sanctipaulensis",NA
"696","Akodon_serrensis",NA
"697","Akodon_spegazzinii",NA
"698","Akodon_subfuscus",NA
"699","Akodon_surdus",NA
"700","Akodon_sylvanus",NA
"701","Akodon_pervalens",NA
"702","Akodon_torques",NA
"703","Necromys_urichi",NA
"704","Akodon_boliviensis",NA
"705","Akodon_juninensis",NA
"706","Akodon_dayi",NA
"707","Akodon_dolores",NA
"708","Akodon_molinae",NA
"709","Akodon_neocenus",NA
"710","Akodon_simulator",NA
"711","Akodon_toba",NA
"712","Akodon_varius",NA
"713","Akodon_aerosus",NA
"714","Deltamys_kempi",NA
"715","Akodon_budini",NA
"716","Akodon_siberiae",NA
"717","Akodon_bogotensis",NA
"718","Akodon_latebricola",NA
"719","Akodon_mimus",NA
"720","Thaptomys_nigrita",NA
"721","Abrothrix_andinus",NA
"722","Abrothrix_jelskii",NA
"723","Andalgalomys_olrogi",NA
"724","Andalgalomys_pearsoni",NA
"725","Auliscomys_boliviensis",NA
"726","Loxodontomys_micropus",NA
"727","Auliscomys_pictus",NA
"728","Auliscomys_sublimis",NA
"729","Phyllotis_amicus",NA
"730","Phyllotis_andium",NA
"731","Phyllotis_bonariensis",NA
"732","Phyllotis_caprinus",NA
"733","Phyllotis_darwini",NA
"734","Phyllotis_limatus",NA
"735","Phyllotis_definitus",NA
"736","Paralomys_gerbillus",NA
"737","Phyllotis_haggardi",NA
"738","Phyllotis_magister",NA
"739","Phyllotis_osgoodi",NA
"740","Phyllotis_osilae",NA
"741","Phyllotis_wolffsohni",NA
"742","Phyllotis_xanthopygus",NA
"743","Graomys_domorum",NA
"744","Graomys_edithae",NA
"745","Graomys_griseoflavus",NA
"746","Graomys_centralis",NA
"747","Andinomys_edax",NA
"748","Bibimys_chacoensis",NA
"749","Bibimys_labiosus",NA
"750","Bibimys_torresi",NA
"751","Kunsia_fronto",NA
"752","Kunsia_tomentosus",NA
"753","Scapteromys_tumidus",NA
"754","Scapteromys_aquaticus",NA
"755","Blarinomys_breviceps",NA
"756","Necromys_amoenus",NA
"757","Necromys_lactens",NA
"758","Necromys_lasiurus",NA
"759","Necromys_lenguarum",NA
"760","Necromys_benefactus",NA
"761","Necromys_obscurus",NA
"762","Necromys_punctulatus",NA
"763","Necromys_temchuki",NA
"764","Calomys_boliviae",NA
"765","Calomys_callidus",NA
"766","Calomys_callosus",NA
"767","Calomys_expulsus",NA
"768","Calomys_venustus",NA
"769","Calomys_hummelincki",NA
"770","Calomys_laucha",NA
"771","Calomys_lepidus",NA
"772","Calomys_musculinus",NA
"773","Calomys_sorellus",NA
"774","Calomys_tener",NA
"775","Chelemys_macronyx",NA
"776","Chelemys_megalonyx",NA
"777","Chelemys_delfini",NA
"778","Chilomys_instans",NA
"779","Chinchillula_sahamae",NA
"780","Delomys_dorsalis",NA
"781","Delomys_collinus",NA
"782","Delomys_sublineatus",NA
"783","Eligmodontia_moreni",NA
"784","Eligmodontia_morgani",NA
"785","Eligmodontia_puerulus",NA
"786","Eligmodontia_typus",NA
"787","Euneomys_chinchilloides",NA
"788","Euneomys_fossor",NA
"789","Euneomys_mordax",NA
"790","Euneomys_petersoni",NA
"791","Galenomys_garleppi",NA
"792","Geoxus_valdivianus",NA
"793","Holochilus_brasiliensis",NA
"794","Holochilus_chacarius",NA
"795","Lundomys_molitor",NA
"796","Holochilus_sciureus",NA
"797","Pseudoryzomys_simplex",NA
"798","Irenomys_tarsalis",NA
"799","Juscelinomys_candango",NA
"800","Lenoxus_apicalis",NA
"801","Melanomys_caliginosus",NA
"802","Melanomys_robustulus",NA
"803","Melanomys_zunigae",NA
"804","Microryzomys_altissimus",NA
"805","Microryzomys_minutus",NA
"806","Neacomys_guianae",NA
"807","Neacomys_pictus",NA
"808","Neacomys_spinosus",NA
"809","Neacomys_tenuipes",NA
"810","Nectomys_palmipes",NA
"811","Nectomys_rattus",NA
"812","Nectomys_squamipes",NA
"813","Nectomys_apicalis",NA
"814","Nectomys_magdalenae",NA
"815","Neotomys_ebriosus",NA
